name,key confidence,min pitch,max pitch,pitch_range,bpm,velocity,Color,key_A major,key_A- major,key_B- major,key_C major,key_b- minor,key_c minor,key_e minor,time signature_4/4
purplehaz.mid,0.6528631382668492,28,84,56,112,101,Purple,0,0,0,0,0,0,1,1
Purple-Rain-2.mid,0.9109831544575233,28,92,64,58,103,Purple,0,0,1,0,0,0,0,1
Purple_Haze_3.MID,0.7489651595382772,31,67,36,106,107,Purple,0,0,0,1,0,0,0,1
purple2.mid,0.7622610668832449,31,74,43,106,104,Purple,0,0,0,1,0,0,0,1
purple.mid,0.6030460434667558,28,81,53,112,86,Purple,0,0,0,0,0,0,1,1
Purple_Haze_2.mid,0.7187299659802607,31,67,36,106,122,Purple,0,0,0,1,0,0,0,1
Purple-Rain-1.mid,0.9246094296124672,28,92,64,60,88,Purple,0,0,1,0,0,0,0,1
Purple_Haze_1.mid,0.7619084915005044,31,74,43,106,105,Purple,0,0,0,1,0,0,0,1
Prince_-_Purple_Rain.mid,0.860053061319143,26,90,64,60,93,Purple,1,0,0,0,0,0,0,1
Prince - Purple Rain.mid,0.860053061319143,26,90,64,60,93,Purple,1,0,0,0,0,0,0,1
Jimi_Hendrix_-_Purple_Haze.mid,0.6528631382668492,28,84,56,112,101,Purple,0,0,0,0,0,0,1,1
smoke_on_the_water-deep_purple.mid,0.7656439934771406,10,87,77,120,99,Purple,0,0,0,1,0,0,0,1
Super Mario Galaxy - Purple Comet.mid,0.8278771527304096,32,86,54,140,89,Purple,0,0,0,0,1,0,0,1
Sheb_Wooley_-_Purple_People_Eater.mid,0.7868860129477385,29,108,79,145,102,Purple,0,1,0,0,0,0,0,1
PurpleWaves.mid,0.8324233676959389,31,86,55,61,56,Purple,0,0,0,0,0,1,0,1
red_hot_chili_peppers-purple_stain.mid,0.6713834389771806,28,84,56,100,107,Purple,0,0,0,0,0,0,1,1
PurpleHaze3.mid,0.7187299659802607,31,67,36,106,122,Purple,0,0,0,1,0,0,0,1
PurpleHaze2.mid,0.7489651595382772,31,67,36,106,107,Purple,0,0,0,1,0,0,0,1
PurpleHaze.mid,0.7187299659802607,31,67,36,106,122,Purple,0,0,0,1,0,0,0,1
